emotion,feature_id,eligible,conservative_effect_rank,coverage,cohen_d_all,cohen_d_implicit,conservative_cohen_d,coverage_joyful,cohen_d_joyful,coverage_excited,cohen_d_excited,coverage_content,cohen_d_content,discovery_auc,discovery_implicit_auc,discovery_joyful_auc,discovery_excited_auc,discovery_content_auc,heldout_auc,heldout_implicit_auc,heldout_joyful_auc,heldout_excited_auc,heldout_content_auc,natural_scale,rank_score,rank_score_rank
joy,7435,True,1,0.9966644429619747,1.0980987548828125,1.078803539276123,0.8885961771011353,0.994,1.0025262832641602,1.0,1.4464218616485596,0.9959919839679359,0.8885961771011353,0.7849376882484225,0.7820736837687139,0.7663209302325582,0.8469634551495017,0.7414416873614339,0.7427789987789988,0.7231608669108669,0.7391428571428571,0.8022490842490844,0.686945054945055,38.25,0.8199354561862762,1
joy,3271,True,2,0.6651100733822548,0.9445388317108154,0.6251446604728699,0.6251446604728699,0.736,1.200110673904419,0.61,0.6973927021026611,0.6492985971943888,0.9524946212768555,0.7403300982493312,0.667373736395365,0.7905554817275748,0.6932259136212623,0.7372026444916411,0.7607741147741148,0.670199938949939,0.7956703296703297,0.7005274725274725,0.7861245421245422,12.0,0.7414067462202981,2
joy,7565,True,3,0.5783855903935957,0.6597163081169128,0.6342281103134155,0.5945640802383423,0.524,0.5945640802383423,0.646,0.7808043956756592,0.5651302605210421,0.6036105751991272,0.6678849022271769,0.6631742587875207,0.6426943521594685,0.7057993355481728,0.6551355202098549,0.6548180708180709,0.638877442002442,0.6466739926739926,0.6522930402930402,0.6654871794871795,8.9375,0.7094828423821862,3
joy,14013,True,6,0.6410940627084724,0.6585726737976074,0.5554713606834412,0.545657217502594,0.658,0.7256437540054321,0.642,0.7041167616844177,0.6232464929859719,0.545657217502594,0.6675635362667027,0.6377213628688306,0.6828305647840531,0.677383388704319,0.6424263810012051,0.6993919413919414,0.6508012820512821,0.6963150183150184,0.7048717948717949,0.696989010989011,14.6875,0.704477716495501,4
joy,14456,True,4,0.4609739826551034,0.7704694271087646,0.6534110307693481,0.5739306807518005,0.47,0.7973809242248535,0.386,0.5739306807518005,0.5270541082164328,0.9360176920890808,0.6779130716158501,0.6464402752083271,0.6829561461794019,0.6354186046511628,0.7154395169075692,0.7036727716727718,0.6625000000000001,0.6892747252747253,0.6597509157509157,0.7619926739926739,8.625,0.7032099118127478,5
joy,9355,True,7,0.580386924616411,0.6881662011146545,0.5326199531555176,0.5326199531555176,0.582,0.7368704080581665,0.654,0.7747825384140015,0.5050100200400801,0.5604451894760132,0.6737477255047107,0.6347187379935362,0.6817308970099668,0.7068591362126245,0.6325707894193703,0.6928669108669108,0.6267246642246642,0.6856117216117217,0.7071428571428571,0.6858461538461539,10.125,0.6999455619698414,6
joy,13121,True,8,0.6771180787191461,0.5646588206291199,0.6102995872497559,0.4964630603790283,0.658,0.4964630603790283,0.728,0.6408894658088684,0.6452905811623246,0.5633630156517029,0.6500468751038897,0.6606291306270966,0.6319521594684385,0.6762897009966776,0.6418824359682821,0.6431111111111111,0.6373397435897435,0.6363223443223442,0.6540732600732599,0.6389377289377288,10.25,0.6969568469788275,7
joy,6718,True,5,0.5350233488992662,0.8094633221626282,0.622319757938385,0.5679842233657837,0.65,1.1122033596038818,0.536,0.7564061880111694,0.4188376753507014,0.5679842233657837,0.6920245833878177,0.6408347297153317,0.7622644518272425,0.686043853820598,0.6276366686862096,0.7095238095238096,0.6568185286935287,0.7493626373626373,0.7368937728937729,0.6423150183150184,10.5,0.6968391270249914,8
joy,11153,True,14,0.5663775850567044,0.7539017796516418,0.4094778299331665,0.4094778299331665,0.674,1.0613155364990234,0.514,0.6075241565704346,0.5110220440881763,0.5920140147209167,0.7001072697412893,0.6211197530744619,0.765810631229236,0.668975415282392,0.6654664811350276,0.7073748473748475,0.6171588827838828,0.7283443223443223,0.6974212454212454,0.6963589743589743,11.8125,0.6911304800485908,9
joy,16327,True,12,1.0,0.7280745506286621,0.704861581325531,0.41927510499954224,1.0,0.7699272036552429,1.0,1.026848554611206,1.0,0.41927510499954224,0.6990995104155815,0.695236803786536,0.7058338870431893,0.7704950166112957,0.6208130546807902,0.6738144078144078,0.6776327838827839,0.6553479853479853,0.7408791208791209,0.6252161172161173,65.0,0.6907230057223483,10
